wavelength      flux_density      ERROR      cl1      cl2      cl3
      5.12652     0.003523     0.002565          1.0            0            0
      5.15676     0.006035     0.003526          1.0            0            0
      5.18700     0.001247     0.001797          1.0            0            0
      5.21725     0.001869     0.000992          1.0            0            0
      5.24749     0.001232     0.000818          1.0            0            0
      5.27773     0.000858     0.000374          1.0            0            0
      5.30797     0.000853     0.000404          1.0            0            0
      5.33821     0.000280     0.000395          1.0            0            0
      5.36846     0.000443     0.000353          1.0            0            0
      5.39870     0.000781     0.000455          1.0            0            0
      5.42894     0.000319     0.000349          1.0            0            0
      5.45918     0.000948     0.000319          1.0            0            0
      5.48942     0.000989     0.000502          1.0            0            0
      5.51967     0.000345     0.000479          1.0            0            0
      5.54991     0.000977     0.000246          1.0            0            0
      5.58015     0.001143     0.000254          1.0            0            0
      5.61039     0.001000     0.000292          1.0            0            0
      5.64063     0.001342     0.000290          1.0            0            0
      5.67088     0.000899     0.000306          1.0            0            0
      5.70112     0.000841     0.000445          1.0            0            0
      5.73136     0.000626     0.000333          1.0            0            0
      5.76160     0.001176     0.000455          1.0            0            0
      5.79184     0.000293     0.000437          1.0            0            0
      5.82209     0.001165     0.000421          1.0            0            0
      5.85233     0.000978     0.000399          1.0            0            0
      5.88257     0.001384     0.000331          1.0            0            0
      5.91281     0.001059     0.000365          1.0            0            0
      5.94305     0.001239     0.000375          1.0            0            0
      5.97330     0.001409     0.000395          1.0            0            0
      6.00354     0.001088     0.000364          1.0            0            0
      6.03378     0.001219     0.000331          1.0            0            0
      6.06402     0.001383     0.000317          1.0            0            0
      6.09426     0.001366     0.000316          1.0            0            0
      6.12451     0.000640     0.000421          1.0            0            0
      6.15475     0.000663     0.000453          1.0            0            0
      6.18499     0.001462     0.000530          1.0            0            0
      6.21523     0.001512     0.000406          1.0            0            0
      6.24547     0.001033     0.000312          1.0            0            0
      6.27572     0.001355     0.000378          1.0            0            0
      6.30596     0.001773     0.000383          1.0            0            0
      6.33620     0.001493     0.000313          1.0            0            0
      6.36644     0.002038     0.000342          1.0            0            0
      6.39668     0.001956     0.000469          1.0            0            0
      6.42693     0.002339     0.000437          1.0            0            0
      6.45717     0.002764     0.000350          1.0            0            0
      6.48741     0.003549     0.000483          1.0            0            0
      6.51765     0.005352     0.000820          1.0            0            0
      6.54789     0.005629     0.000595          1.0            0            0
      6.57814     0.006589     0.000690          1.0            0            0
      6.60838     0.005044     0.000590          1.0            0            0
      6.63862     0.004988     0.000350          1.0            0            0
      6.66886     0.004655     0.000488          1.0            0            0
      6.69910     0.003238     0.000607          1.0            0            0
      6.72935     0.002600     0.000411          1.0            0            0
      6.75959     0.002848     0.000495          1.0            0            0
      6.78983     0.001817     0.000515          1.0            0            0
      6.82007     0.002259     0.000375          1.0            0            0
      6.85031     0.001203     0.000409          1.0            0            0
      6.88056     0.002572     0.000529          1.0            0            0
      6.91080     0.002325     0.000464          1.0            0            0
      6.94104     0.002325     0.000540          1.0            0            0
      6.97128     0.002548     0.000397          1.0            0            0
      7.00152     0.001845     0.000403          1.0            0            0
      7.03177     0.002669     0.000598          1.0            0            0
      7.06201     0.003268     0.000452          1.0            0            0
      7.09225     0.003419     0.000719          1.0            0            0
      7.12249     0.002206     0.000454          1.0            0            0
      7.15273     0.002178     0.000351          1.0            0            0
      7.18298     0.002542     0.000420          1.0            0            0
      7.21322     0.001961     0.000358          1.0            0            0
      7.24346     0.002586     0.000320          1.0            0            0
      7.27370     0.003851     0.000469          1.0            0            0
      7.30394     0.002420     0.000505          1.0            0            0
      7.33419     0.002629     0.000464          1.0            0            0
      7.36443     0.004194     0.000585          1.0            0            0
      7.39467     0.003693     0.000730          1.0            0            0
      7.42491     0.003735     0.000755          1.0            0            0
      7.45515     0.003527     0.000541          1.0            0            0
      7.48540     0.002333     0.000432          1.0            0            0
      7.51564     0.005064     0.000855          1.5            0            0
      7.57612     0.002214     0.000544          2.0            0            0
      7.63660     0.003612     0.000452          2.0            0            0
      7.69709     0.004479     0.000391          2.0            0            0
      7.75757     0.005005     0.000418          2.0            0            0
      7.81805     0.005971     0.000410          2.0            0            0
      7.87854     0.006870     0.000366          2.0            0            0
      7.93902     0.008090     0.000374          2.0            0            0
      7.99951     0.009413     0.000291          2.0            0            0
      8.05999     0.010212     0.000275          2.0            0            0
      8.12047     0.009505     0.000264          2.0            0            0
      8.18096     0.009353     0.000272          2.0            0            0
      8.24144     0.008888     0.000319          2.0            0            0
      8.30192     0.008519     0.000334          2.0            0            0
      8.36241     0.008667     0.000259          2.0            0            0
      8.42289     0.006955     0.000203          2.0            0            0
      8.48337     0.005615     0.000289          2.0            0            0
      8.54386     0.005853     0.000338          2.0            0            0
      8.60434     0.005526     0.000333          2.0            0            0
      8.66483     0.004836     0.000342          2.0            0            0
      8.72531     0.005679     0.000245          2.0            0            0
      8.78579     0.005126     0.000234          2.0            0            0
      8.84628     0.005263     0.000236          2.0            0            0
      8.90676     0.005900     0.000251          2.0            0            0
      8.96724     0.006655     0.000247          2.0            0            0
      9.02773     0.006644     0.000287          2.0            0            0
      9.08821     0.006605     0.000326          2.0            0            0
      9.14869     0.006280     0.000251          2.0            0            0
      9.20918     0.005148     0.000223          2.0            0            0
      9.26966     0.004505     0.000297          2.0            0            0
      9.33015     0.003704     0.000310          2.0            0            0
      9.39063     0.002845     0.000366          2.0            0            0
      9.45111     0.002716     0.000339          2.0            0            0
      9.51160     0.002418     0.000306          2.0            0            0
      9.57208     0.002466     0.000306          2.0            0            0
      9.63256     0.002395     0.000300          2.0            0            0
      9.69305     0.002805     0.000422          2.0            0            0
      9.75353     0.002401     0.000435          2.0            0            0
      9.81401     0.002042     0.000298          2.0            0            0
      9.87450     0.001829     0.000286          2.0            0            0
      9.93498     0.002346     0.000323          2.0            0            0
      9.99547     0.003429     0.000455          2.0            0            0
     10.05595     0.002418     0.000473          2.0            0            0
     10.11643     0.002038     0.000362          2.0            0            0
     10.17692     0.002787     0.000378          2.0            0            0
     10.23740     0.002486     0.000247          2.0            0            0
     10.29788     0.002163     0.000203          2.0            0            0
     10.35837     0.002213     0.000205          2.0            0            0
     10.41885     0.002493     0.000199          2.0            0            0
     10.47933     0.002626     0.000222          2.0            0            0
     10.53982     0.002465     0.000222          2.0            0            0
     10.60030     0.002474     0.000246          2.0            0            0
     10.66079     0.001967     0.000234          2.0            0            0
     10.72127     0.002142     0.000222          2.0            0            0
     10.78175     0.002701     0.000223          2.0            0            0
     10.84224     0.002450     0.000361          2.0            0            0
     10.90272     0.002316     0.000365          2.0            0            0
     10.96320     0.002404     0.000317          2.0            0            0
     11.02369     0.002079     0.000233          2.0            0            0
     11.08417     0.002602     0.000285          2.0            0            0
     11.14465     0.002580     0.000286          2.0            0            0
     11.20514     0.002299     0.000245          2.0            0            0
     11.26562     0.002990     0.000249          2.0            0            0
     11.32611     0.002596     0.000289          2.0            0            0
     11.38659     0.002929     0.000262          2.0            0            0
     11.44707     0.003107     0.000229          2.0            0            0
     11.50756     0.003701     0.000239          2.0            0            0
